Dice Bot Simulation,,Starting Balance,Amount of bets, Server seed,,,Client Seed
,,0.50000000,1,lKT.TLTBDtvlIiUco594RboBDVumfccXJESaAH2kU.y_YTxvCAR_kz49min.hwlq,,,

Bet Number,LuckyNumber,Chance,Roll,Result,Wagered,Profit,Balance,Total Profit
1,99.0981,49.5,>50.5,win,1E-07,1E-07,0.5000001,1E-07
2,21.9215,49.5,>50.5,lose,1E-07,-1E-07,0.5,0
3,4.5076,49.5,>50.5,lose,2E-07,-2E-07,0.4999998,-2E-07
4,44.1167,49.5,>50.5,lose,4E-07,-4E-07,0.4999994,-6E-07
5,99.8921,49.5,>50.5,win,8E-07,8E-07,0.5000002,2E-07
6,50.2331,49.5,>50.5,lose,1E-07,-1E-07,0.5000001,1E-07
7,84.3113,49.5,>50.5,win,2E-07,2E-07,0.5000003,3E-07
8,23.2318,49.5,>50.5,lose,1E-07,-1E-07,0.5000002,2E-07
9,41.4813,49.5,>50.5,lose,2E-07,-2E-07,0.5,0
10,18.1204,49.5,>50.5,lose,4E-07,-4E-07,0.4999996,-4E-07
11,31.2736,49.5,>50.5,lose,8E-07,-8E-07,0.4999988,-1.2E-06
12,8.1356,49.5,>50.5,lose,1.6E-06,-1.6E-06,0.4999972,-2.8E-06
13,3.7899,49.5,>50.5,lose,3.2E-06,-3.2E-06,0.499994,-6E-06
14,5.7069,49.5,>50.5,lose,6.4E-06,-6.4E-06,0.4999876,-1.24E-05
15,49.2574,49.5,>50.5,lose,1.28E-05,-1.28E-05,0.4999748,-2.52E-05
16,70.4237,49.5,>50.5,win,2.56E-05,2.56E-05,0.5000004,4E-07
17,70.4781,49.5,>50.5,win,1E-07,1E-07,0.5000005,5E-07
18,31.7463,49.5,>50.5,lose,1E-07,-1E-07,0.5000004,4E-07
19,36.5709,49.5,>50.5,lose,2E-07,-2E-07,0.5000002,2E-07
20,60.5134,49.5,>50.5,win,4E-07,4E-07,0.5000006,6E-07
21,36.3682,49.5,>50.5,lose,1E-07,-1E-07,0.5000005,5E-07
22,98.3838,49.5,>50.5,win,2E-07,2E-07,0.5000007,7E-07
23,44.5292,49.5,>50.5,lose,1E-07,-1E-07,0.5000006,6E-07
24,39.8599,49.5,>50.5,lose,2E-07,-2E-07,0.5000004,4E-07
25,93.5749,49.5,>50.5,win,4E-07,4E-07,0.5000008,8E-07
26,6.7607,49.5,>50.5,lose,1E-07,-1E-07,0.5000007,7E-07
27,67.8912,49.5,>50.5,win,2E-07,2E-07,0.5000009,9E-07
28,62.6164,49.5,>50.5,win,1E-07,1E-07,0.500001,1E-06
29,84.7893,49.5,>50.5,win,1E-07,1E-07,0.5000011,1.1E-06
30,30.6091,49.5,>50.5,lose,1E-07,-1E-07,0.500001,1E-06
31,39.6194,49.5,>50.5,lose,2E-07,-2E-07,0.5000008,8E-07
32,27.0734,49.5,>50.5,lose,4E-07,-4E-07,0.5000004,4E-07
33,93.2736,49.5,>50.5,win,8E-07,8E-07,0.5000012,1.2E-06
34,2.3192,49.5,>50.5,lose,1E-07,-1E-07,0.5000011,1.1E-06
35,46.5897,49.5,>50.5,lose,2E-07,-2E-07,0.5000009,9E-07
36,52.351,49.5,>50.5,win,4E-07,4E-07,0.5000013,1.3E-06
37,54.7039,49.5,>50.5,win,1E-07,1E-07,0.5000014,1.4E-06
38,25.4369,49.5,>50.5,lose,1E-07,-1E-07,0.5000013,1.3E-06
39,81.7985,49.5,>50.5,win,2E-07,2E-07,0.5000015,1.5E-06
40,25.3275,49.5,>50.5,lose,1E-07,-1E-07,0.5000014,1.4E-06
41,21.1742,49.5,>50.5,lose,2E-07,-2E-07,0.5000012,1.2E-06
42,60.8825,49.5,>50.5,win,4E-07,4E-07,0.5000016,1.6E-06
43,34.8943,49.5,>50.5,lose,1E-07,-1E-07,0.5000015,1.5E-06
44,88.7661,49.5,>50.5,win,2E-07,2E-07,0.5000017,1.7E-06
45,6.586,49.5,>50.5,lose,1E-07,-1E-07,0.5000016,1.6E-06
46,80.8186,49.5,>50.5,win,2E-07,2E-07,0.5000018,1.8E-06
47,9.4566,49.5,>50.5,lose,1E-07,-1E-07,0.5000017,1.7E-06
48,92.1585,49.5,>50.5,win,2E-07,2E-07,0.5000019,1.9E-06
49,40.0111,49.5,>50.5,lose,1E-07,-1E-07,0.500001800000001,1.8E-06
50,24.3994,49.5,>50.5,lose,2E-07,-2E-07,0.5000016,1.6E-06
